1	128.8203502
2	193.2537302
3	20.27752102
4	169.9292128
5	115.5140617
6	107.2117752
7	206.2768682
8	183.2616515
9	220.6476089
10	55.89437014
11	128.0485568
12	125.2592689
13	14.7826087
14	154.9320681
15	187.3481322
16	129.290177
17	97.60142083
18	96.83843887
19	238.6669813
20	103.6358921
21	133.0936071
22	210.1508024
23	140.7086503
24	64.97895522
25	153.3393867
26	8.491066668
27	97.51695043
28	167.5591698
29	105.9785511
30	96.21872045
31	181.629014
32	126.7682638
33	40.97375566
34	51.32775647
35	0.994293237
36	178.4789151
37	131.1301868
38	136.5515521
39	93.9573291
40	211.0883721
41	48.89688456
42	144.480136
43	205.7749193
44	121.9476378
45	186.5901611
46	18.22307821
47	213.253187
48	199.0033542
49	301.1851393
50	132.4480232
