
0	3.332	1.00000	0.0357
60	3.296	1.00000	0.0370
120	3.258	1.00000	0.0385
270	3.219	1.00000	0.0400
360	3.135	1.00000	0.0435
450	3.091	1.00000	0.0455
630	3.045	1.00000	0.0476
780	2.996	1.00000	0.0500
870	2.944	1.00000	0.0526
960	2.89	1.00000	0.0556
1080	2.833	1.00000	0.0588
1320	2.773	1.00000	0.0625
1440	2.708	1.00000	0.0667
1620	2.639	1.00000	0.0714
1830	2.565	1.00000	0.0769
1980	2.485	1.00000	0.0833
2310	2.398	1.00000	0.0909
2580	2.303	1.00000	0.1000
2850	2.197	1	0.1111
3180	2.079	1.00000	0.1250
3660	1.946	1	0.1429
