
0	3.296	1.00000	0.037037037
60	3.258	1.00000	0.038461538
90	3.219	1.00000	0.04
180	3.178	1.00000	0.041666667
210	3.135	1.00000	0.043478261
300	3.091	1.00000	0.045454545
390	3.045	1.00000	0.047619048
480	2.996	1.00000	0.05
540	2.944	1.00000	0.052631579
660	2.89	1.00000	0.055555556
780	2.833	1.00000	0.058823529
930	2.773	1.00000	0.0625
1020	2.708	1.00000	0.066666667
1140	2.639	1.00000	0.071428571
1290	2.565	1.00000	0.076923077
1470	2.485	1.00000	0.083333333
1620	2.398	1.00000	0.090909091
